Geneid	17-FC
ENSRNOG00000058582	0
ENSRNOG00000029608	591
ENSRNOG00000052712	1
ENSRNOG00000057890	3
ENSRNOG00000056670	0
ENSRNOG00000013323	251
ENSRNOG00000021478	405
ENSRNOG00000021442	134
ENSRNOG00000013364	93
ENSRNOG00000014004	2289
ENSRNOG00000014190	240
ENSRNOG00000014240	48
ENSRNOG00000042944	1
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	23
ENSRNOG00000011568	351
ENSRNOG00000011588	848
ENSRNOG00000011622	546
ENSRNOG00000054753	1
ENSRNOG00000042309	2817
ENSRNOG00000012324	1905
ENSRNOG00000061741	22
ENSRNOG00000054845	0
ENSRNOG00000023407	18
ENSRNOG00000023387	0
ENSRNOG00000012581	2
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	37
ENSRNOG00000028357	91
ENSRNOG00000012775	583
ENSRNOG00000013331	5397
ENSRNOG00000014485	533
ENSRNOG00000014721	7
ENSRNOG00000039776	1110
ENSRNOG00000015159	23
ENSRNOG00000015465	7
ENSRNOG00000028261	2797
ENSRNOG00000039743	4
ENSRNOG00000060926	1
ENSRNOG00000015676	769
ENSRNOG00000015810	21
ENSRNOG00000051415	0
ENSRNOG00000016103	239
ENSRNOG00000016372	185
ENSRNOG00000056712	0
ENSRNOG00000026501	0
ENSRNOG00000016253	0
ENSRNOG00000061518	0
ENSRNOG00000025327	48
ENSRNOG00000016923	1563
ENSRNOG00000017302	0
ENSRNOG00000017930	623
ENSRNOG00000053180	0
ENSRNOG00000047971	2
ENSRNOG00000049394	2
ENSRNOG00000012720	0
ENSRNOG00000060323	0
ENSRNOG00000057164	0
ENSRNOG00000012742	0
ENSRNOG00000058487	0
ENSRNOG00000055826	0
ENSRNOG00000053323	0
ENSRNOG00000056842	0
ENSRNOG00000033609	0
ENSRNOG00000054020	0
ENSRNOG00000054169	0
ENSRNOG00000057928	0
ENSRNOG00000057721	0
ENSRNOG00000016812	14
ENSRNOG00000047117	0
ENSRNOG00000023053	1825
ENSRNOG00000049434	0
ENSRNOG00000052375	0
ENSRNOG00000017095	9
ENSRNOG00000055337	0
ENSRNOG00000057357	0
ENSRNOG00000017150	408
ENSRNOG00000043733	0
ENSRNOG00000034075	3374
ENSRNOG00000017254	922
ENSRNOG00000017601	342
ENSRNOG00000052644	0
ENSRNOG00000017613	953
ENSRNOG00000055880	1
ENSRNOG00000017678	18
ENSRNOG00000058077	384
ENSRNOG00000032150	3369
ENSRNOG00000055957	0
ENSRNOG00000047406	164
ENSRNOG00000027422	353
ENSRNOG00000017826	408
ENSRNOG00000042308	43
ENSRNOG00000058041	2
ENSRNOG00000051377	575
ENSRNOG00000059310	0
ENSRNOG00000017963	173
ENSRNOG00000049259	156
ENSRNOG00000016462	175
ENSRNOG00000056694	27
ENSRNOG00000049256	0
ENSRNOG00000046712	0
ENSRNOG00000054816	0
ENSRNOG00000049881	0
ENSRNOG00000047145	192
ENSRNOG00000046353	90
ENSRNOG00000054466	23
ENSRNOG00000057057	13
ENSRNOG00000053328	14
ENSRNOG00000023081	0
ENSRNOG00000016368	472
ENSRNOG00000016286	8
ENSRNOG00000053056	0
ENSRNOG00000016011	303
ENSRNOG00000019582	374
ENSRNOG00000055235	0
ENSRNOG00000019549	801
ENSRNOG00000019544	144
ENSRNOG00000019501	601
ENSRNOG00000019489	482
ENSRNOG00000054876	5
ENSRNOG00000024280	4
ENSRNOG00000019358	56
ENSRNOG00000057689	0
ENSRNOG00000055223	0
ENSRNOG00000055166	0
ENSRNOG00000018960	13107
ENSRNOG00000052241	0
ENSRNOG00000018858	2
ENSRNOG00000053113	0
ENSRNOG00000018808	722
ENSRNOG00000054156	0
ENSRNOG00000024077	34
ENSRNOG00000018773	218
ENSRNOG00000059321	3
ENSRNOG00000055161	15
ENSRNOG00000018690	901
ENSRNOG00000033265	0
ENSRNOG00000059050	1
ENSRNOG00000059359	0
ENSRNOG00000060413	0
ENSRNOG00000018191	13
ENSRNOG00000060991	15
ENSRNOG00000059866	236
ENSRNOG00000018163	677
ENSRNOG00000055098	0
ENSRNOG00000018052	165
ENSRNOG00000004144	22
ENSRNOG00000060056	0
ENSRNOG00000016919	1170
ENSRNOG00000057561	12
ENSRNOG00000016728	1619
ENSRNOG00000056223	354
ENSRNOG00000023531	3
ENSRNOG00000016490	32
ENSRNOG00000059546	7
ENSRNOG00000054504	5
ENSRNOG00000053507	0
ENSRNOG00000053052	2
ENSRNOG00000017030	1844
ENSRNOG00000016973	231
ENSRNOG00000029049	1026
ENSRNOG00000058103	0
ENSRNOG00000046874	188
ENSRNOG00000017114	2744
ENSRNOG00000017889	267
ENSRNOG00000018007	536
ENSRNOG00000018012	2104
ENSRNOG00000018158	1527
ENSRNOG00000018207	100
ENSRNOG00000018321	2
ENSRNOG00000018524	1674
ENSRNOG00000058299	0
ENSRNOG00000018762	62
ENSRNOG00000018915	6
ENSRNOG00000058258	1
ENSRNOG00000018935	35
ENSRNOG00000030210	115
ENSRNOG00000054760	0
ENSRNOG00000058069	0
ENSRNOG00000019048	2599
ENSRNOG00000019091	1130
ENSRNOG00000019189	423
ENSRNOG00000013975	93
ENSRNOG00000014160	1728
ENSRNOG00000058152	0
ENSRNOG00000051969	0
ENSRNOG00000014582	295
ENSRNOG00000023140	25
ENSRNOG00000014965	0
ENSRNOG00000014971	258
ENSRNOG00000014997	1637
ENSRNOG00000051780	0
ENSRNOG00000056441	0
ENSRNOG00000016337	0
ENSRNOG00000016625	14
ENSRNOG00000053944	0
ENSRNOG00000022946	30
ENSRNOG00000017223	16
ENSRNOG00000017412	1
ENSRNOG00000017419	1017
ENSRNOG00000059864	0
ENSRNOG00000055981	0
ENSRNOG00000017731	1230
ENSRNOG00000054620	71
ENSRNOG00000055141	2
