"ID","Description","GeneRatio","p.adjust"
"rno04141","Protein processing in endoplasmic reticulum","25/200",7.16555138816714e-12
"rno04010","MAPK signaling pathway","19/200",0.0013444873434848
"rno04915","Estrogen signaling pathway","12/200",0.00177858998517937
"rno05417","Lipid and atherosclerosis","14/200",0.0102538609961786
