Geneid	3-FC
ENSRNOG00000058582	0
ENSRNOG00000029608	501
ENSRNOG00000052712	0
ENSRNOG00000057890	0
ENSRNOG00000056670	2
ENSRNOG00000013323	208
ENSRNOG00000021478	282
ENSRNOG00000021442	127
ENSRNOG00000013364	290
ENSRNOG00000014004	1361
ENSRNOG00000014190	254
ENSRNOG00000014240	64
ENSRNOG00000042944	4
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	19
ENSRNOG00000011568	215
ENSRNOG00000011588	801
ENSRNOG00000011622	889
ENSRNOG00000054753	0
ENSRNOG00000042309	2035
ENSRNOG00000012324	1427
ENSRNOG00000061741	19
ENSRNOG00000054845	0
ENSRNOG00000023407	11
ENSRNOG00000023387	0
ENSRNOG00000012581	0
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	36
ENSRNOG00000028357	85
ENSRNOG00000012775	564
ENSRNOG00000013331	6359
ENSRNOG00000014485	502
ENSRNOG00000014721	3
ENSRNOG00000039776	849
ENSRNOG00000015159	17
ENSRNOG00000015465	10
ENSRNOG00000028261	2726
ENSRNOG00000039743	1
ENSRNOG00000060926	1
ENSRNOG00000015676	818
ENSRNOG00000015810	20
ENSRNOG00000051415	0
ENSRNOG00000016103	356
ENSRNOG00000016372	279
ENSRNOG00000056712	0
ENSRNOG00000026501	0
ENSRNOG00000016253	0
ENSRNOG00000061518	0
ENSRNOG00000025327	64
ENSRNOG00000016923	1313
ENSRNOG00000017302	0
ENSRNOG00000017930	629
ENSRNOG00000053180	0
ENSRNOG00000047971	0
ENSRNOG00000049394	5
ENSRNOG00000012720	0
ENSRNOG00000060323	0
ENSRNOG00000057164	0
ENSRNOG00000012742	0
ENSRNOG00000058487	0
ENSRNOG00000055826	0
ENSRNOG00000053323	0
ENSRNOG00000056842	0
ENSRNOG00000033609	0
ENSRNOG00000054020	0
ENSRNOG00000054169	0
ENSRNOG00000057928	0
ENSRNOG00000057721	0
ENSRNOG00000016812	6
ENSRNOG00000047117	1
ENSRNOG00000023053	1490
ENSRNOG00000049434	0
ENSRNOG00000052375	0
ENSRNOG00000017095	10
ENSRNOG00000055337	0
ENSRNOG00000057357	0
ENSRNOG00000017150	378
ENSRNOG00000043733	0
ENSRNOG00000034075	2211
ENSRNOG00000017254	764
ENSRNOG00000017601	358
ENSRNOG00000052644	0
ENSRNOG00000017613	827
ENSRNOG00000055880	1
ENSRNOG00000017678	19
ENSRNOG00000058077	422
ENSRNOG00000032150	3275
ENSRNOG00000055957	0
ENSRNOG00000047406	116
ENSRNOG00000027422	281
ENSRNOG00000017826	388
ENSRNOG00000042308	51
ENSRNOG00000058041	0
ENSRNOG00000051377	600
ENSRNOG00000059310	0
ENSRNOG00000017963	147
ENSRNOG00000049259	157
ENSRNOG00000016462	169
ENSRNOG00000056694	34
ENSRNOG00000049256	0
ENSRNOG00000046712	0
ENSRNOG00000054816	0
ENSRNOG00000049881	0
ENSRNOG00000047145	239
ENSRNOG00000046353	78
ENSRNOG00000054466	44
ENSRNOG00000057057	19
ENSRNOG00000053328	36
ENSRNOG00000023081	0
ENSRNOG00000016368	327
ENSRNOG00000016286	2
ENSRNOG00000053056	1
ENSRNOG00000016011	422
ENSRNOG00000019582	405
ENSRNOG00000055235	1
ENSRNOG00000019549	823
ENSRNOG00000019544	181
ENSRNOG00000019501	529
ENSRNOG00000019489	420
ENSRNOG00000054876	5
ENSRNOG00000024280	7
ENSRNOG00000019358	21
ENSRNOG00000057689	0
ENSRNOG00000055223	0
ENSRNOG00000055166	0
ENSRNOG00000018960	12267
ENSRNOG00000052241	1
ENSRNOG00000018858	6
ENSRNOG00000053113	0
ENSRNOG00000018808	753
ENSRNOG00000054156	0
ENSRNOG00000024077	31
ENSRNOG00000018773	246
ENSRNOG00000059321	4
ENSRNOG00000055161	7
ENSRNOG00000018690	562
ENSRNOG00000033265	0
ENSRNOG00000059050	0
ENSRNOG00000059359	0
ENSRNOG00000060413	0
ENSRNOG00000018191	19
ENSRNOG00000060991	8
ENSRNOG00000059866	157
ENSRNOG00000018163	352
ENSRNOG00000055098	0
ENSRNOG00000018052	269
ENSRNOG00000004144	15
ENSRNOG00000060056	0
ENSRNOG00000016919	1103
ENSRNOG00000057561	15
ENSRNOG00000016728	1359
ENSRNOG00000056223	327
ENSRNOG00000023531	3
ENSRNOG00000016490	17
ENSRNOG00000059546	5
ENSRNOG00000054504	2
ENSRNOG00000053507	0
ENSRNOG00000053052	1
ENSRNOG00000017030	1659
ENSRNOG00000016973	288
ENSRNOG00000029049	734
ENSRNOG00000058103	0
ENSRNOG00000046874	290
ENSRNOG00000017114	1875
ENSRNOG00000017889	270
ENSRNOG00000018007	656
ENSRNOG00000018012	2040
ENSRNOG00000018158	1173
ENSRNOG00000018207	153
ENSRNOG00000018321	6
ENSRNOG00000018524	2748
ENSRNOG00000058299	0
ENSRNOG00000018762	66
ENSRNOG00000018915	28
ENSRNOG00000058258	2
ENSRNOG00000018935	62
ENSRNOG00000030210	134
ENSRNOG00000054760	0
ENSRNOG00000058069	2
ENSRNOG00000019048	2340
ENSRNOG00000019091	1002
ENSRNOG00000019189	428
ENSRNOG00000013975	96
ENSRNOG00000014160	1395
ENSRNOG00000058152	0
ENSRNOG00000051969	1
ENSRNOG00000014582	333
ENSRNOG00000023140	30
ENSRNOG00000014965	3
ENSRNOG00000014971	124
ENSRNOG00000014997	1299
ENSRNOG00000051780	1
ENSRNOG00000056441	0
ENSRNOG00000016337	0
ENSRNOG00000016625	21
ENSRNOG00000053944	2
ENSRNOG00000022946	68
ENSRNOG00000017223	20
ENSRNOG00000017412	1
ENSRNOG00000017419	895
ENSRNOG00000059864	0
ENSRNOG00000055981	0
ENSRNOG00000017731	825
ENSRNOG00000054620	70
ENSRNOG00000055141	0
ENSRNOG00000055547	122
ENSRNOG00000048297	131
ENSRNOG00000060475	61
ENSRNOG00000017367	0
ENSRNOG00000049044	0
ENSRNOG00000011243	1
ENSRNOG00000011310	999
ENSRNOG00000012229	2
ENSRNOG00000024172	5
ENSRNOG00000024149	192
ENSRNOG00000024140	573
ENSRNOG00000012415	1502
ENSRNOG00000012964	1
ENSRNOG00000055093	239
ENSRNOG00000013190	596
ENSRNOG00000057484	0
ENSRNOG00000052521	0
ENSRNOG00000013194	1879
ENSRNOG00000060227	0
ENSRNOG00000039255	7
ENSRNOG00000013374	1
ENSRNOG00000033901	0
ENSRNOG00000047027	1
ENSRNOG00000053284	1
ENSRNOG00000023753	1485
ENSRNOG00000051938	31
ENSRNOG00000058564	7
ENSRNOG00000056439	0
ENSRNOG00000054756	1
ENSRNOG00000052956	0
ENSRNOG00000059551	0
ENSRNOG00000051553	0
ENSRNOG00000059913	0
ENSRNOG00000055136	0
ENSRNOG00000053004	0
ENSRNOG00000061719	0
ENSRNOG00000060438	67
ENSRNOG00000055577	0
ENSRNOG00000046250	1
ENSRNOG00000052093	0
ENSRNOG00000054056	0
ENSRNOG00000030145	0
ENSRNOG00000055830	0
ENSRNOG00000052700	0
ENSRNOG00000059261	0
ENSRNOG00000057320	0
ENSRNOG00000054834	0
ENSRNOG00000013671	0
ENSRNOG00000022921	1447
ENSRNOG00000014166	15
ENSRNOG00000061057	0
ENSRNOG00000010529	259
ENSRNOG00000058989	0
ENSRNOG00000061383	0
ENSRNOG00000015609	209
ENSRNOG00000059948	0
ENSRNOG00000055517	0
ENSRNOG00000053938	0
ENSRNOG00000058803	2
ENSRNOG00000060933	0
ENSRNOG00000051787	6
ENSRNOG00000015597	346
ENSRNOG00000061312	554
ENSRNOG00000015293	1
ENSRNOG00000015230	448
ENSRNOG00000059984	163
ENSRNOG00000058790	1587
ENSRNOG00000001488	1369
ENSRNOG00000001489	254
ENSRNOG00000001490	232
ENSRNOG00000021493	32
ENSRNOG00000056729	6
ENSRNOG00000014434	634
ENSRNOG00000048190	389
ENSRNOG00000052286	0
ENSRNOG00000061593	0
ENSRNOG00000056478	1
ENSRNOG00000057242	0
ENSRNOG00000012692	263
ENSRNOG00000012988	3286
ENSRNOG00000047387	8
ENSRNOG00000035654	4
ENSRNOG00000035453	3
ENSRNOG00000035572	1
ENSRNOG00000039076	508
ENSRNOG00000010994	82
ENSRNOG00000011174	13
ENSRNOG00000060169	1
ENSRNOG00000042605	1
ENSRNOG00000045732	0
ENSRNOG00000052154	0
ENSRNOG00000061043	0
ENSRNOG00000011234	28
ENSRNOG00000051757	0
ENSRNOG00000054409	0
ENSRNOG00000052260	0
ENSRNOG00000060271	0
ENSRNOG00000055538	0
ENSRNOG00000056833	0
ENSRNOG00000047498	0
ENSRNOG00000011282	6854
ENSRNOG00000050623	0
ENSRNOG00000060596	0
ENSRNOG00000059492	198
ENSRNOG00000032996	1
ENSRNOG00000028807	0
ENSRNOG00000060716	0
ENSRNOG00000052406	98
ENSRNOG00000051578	37
ENSRNOG00000042347	29
ENSRNOG00000042826	45
ENSRNOG00000060256	0
ENSRNOG00000058436	8
ENSRNOG00000043341	89
ENSRNOG00000042547	1
ENSRNOG00000025949	0
ENSRNOG00000047128	0
ENSRNOG00000058030	190
ENSRNOG00000057250	23
ENSRNOG00000051570	50
ENSRNOG00000054919	0
ENSRNOG00000055824	1
ENSRNOG00000047884	48
ENSRNOG00000026569	231
ENSRNOG00000028767	4
ENSRNOG00000051875	0
ENSRNOG00000061533	126
ENSRNOG00000059824	9
ENSRNOG00000055124	33
ENSRNOG00000011675	210
ENSRNOG00000029458	0
ENSRNOG00000058286	0
ENSRNOG00000054736	1
ENSRNOG00000047616	0
ENSRNOG00000060529	0
ENSRNOG00000053825	0
ENSRNOG00000054778	0
ENSRNOG00000056653	0
ENSRNOG00000055843	1
ENSRNOG00000058214	0
ENSRNOG00000057219	0
ENSRNOG00000055529	0
ENSRNOG00000009146	0
ENSRNOG00000058087	0
ENSRNOG00000054954	7
ENSRNOG00000053260	20
ENSRNOG00000058538	0
ENSRNOG00000058909	102
ENSRNOG00000055179	3
ENSRNOG00000052600	137
ENSRNOG00000059741	9
ENSRNOG00000058422	2
ENSRNOG00000059572	14
ENSRNOG00000054459	6
ENSRNOG00000061893	162
ENSRNOG00000053234	927
ENSRNOG00000060004	0
ENSRNOG00000061039	506
ENSRNOG00000056098	275
ENSRNOG00000060293	306
ENSRNOG00000055716	7
ENSRNOG00000055796	0
ENSRNOG00000055581	0
ENSRNOG00000057852	11
ENSRNOG00000057848	1253
ENSRNOG00000054831	0
ENSRNOG00000056257	3141
ENSRNOG00000054371	4934
ENSRNOG00000053450	979
ENSRNOG00000053124	0
ENSRNOG00000055798	0
ENSRNOG00000056884	0
ENSRNOG00000060745	1
ENSRNOG00000060612	0
ENSRNOG00000057399	0
ENSRNOG00000057453	0
ENSRNOG00000056886	0
ENSRNOG00000060727	0
ENSRNOG00000051974	0
ENSRNOG00000056469	0
ENSRNOG00000054438	0
ENSRNOG00000048635	0
ENSRNOG00000056036	121
ENSRNOG00000056327	5
ENSRNOG00000057050	4
ENSRNOG00000055298	7
ENSRNOG00000054417	0
ENSRNOG00000048100	0
ENSRNOG00000046198	0
ENSRNOG00000027550	889
ENSRNOG00000027514	2746
ENSRNOG00000043328	870
ENSRNOG00000027487	1944
ENSRNOG00000027459	423
ENSRNOG00000019626	15
ENSRNOG00000060429	156
ENSRNOG00000019623	89
ENSRNOG00000027436	177
ENSRNOG00000051968	0
ENSRNOG00000038445	4
ENSRNOG00000019453	1419
