Geneid	12-FC
ENSRNOG00000058582	1
ENSRNOG00000029608	427
ENSRNOG00000052712	0
ENSRNOG00000057890	0
ENSRNOG00000056670	0
ENSRNOG00000013323	174
ENSRNOG00000021478	286
ENSRNOG00000021442	121
ENSRNOG00000013364	206
ENSRNOG00000014004	1249
ENSRNOG00000014190	191
ENSRNOG00000014240	52
ENSRNOG00000042944	3
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	24
ENSRNOG00000011568	258
ENSRNOG00000011588	759
ENSRNOG00000011622	726
ENSRNOG00000054753	0
ENSRNOG00000042309	2160
ENSRNOG00000012324	1294
ENSRNOG00000061741	5
ENSRNOG00000054845	0
ENSRNOG00000023407	14
ENSRNOG00000023387	0
ENSRNOG00000012581	0
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	38
ENSRNOG00000028357	63
ENSRNOG00000012775	498
ENSRNOG00000013331	5424
ENSRNOG00000014485	530
ENSRNOG00000014721	3
ENSRNOG00000039776	862
ENSRNOG00000015159	10
ENSRNOG00000015465	6
ENSRNOG00000028261	2274
ENSRNOG00000039743	3
ENSRNOG00000060926	0
ENSRNOG00000015676	886
ENSRNOG00000015810	32
ENSRNOG00000051415	0
ENSRNOG00000016103	341
ENSRNOG00000016372	319
ENSRNOG00000056712	1
ENSRNOG00000026501	0
ENSRNOG00000016253	0
ENSRNOG00000061518	1
ENSRNOG00000025327	54
ENSRNOG00000016923	1533
ENSRNOG00000017302	0
ENSRNOG00000017930	605
ENSRNOG00000053180	0
ENSRNOG00000047971	1
ENSRNOG00000049394	8
ENSRNOG00000012720	0
ENSRNOG00000060323	0
ENSRNOG00000057164	0
ENSRNOG00000012742	0
ENSRNOG00000058487	0
ENSRNOG00000055826	0
ENSRNOG00000053323	0
ENSRNOG00000056842	0
ENSRNOG00000033609	1
ENSRNOG00000054020	0
ENSRNOG00000054169	0
ENSRNOG00000057928	0
ENSRNOG00000057721	0
ENSRNOG00000016812	3
ENSRNOG00000047117	1
ENSRNOG00000023053	1486
ENSRNOG00000049434	0
ENSRNOG00000052375	0
ENSRNOG00000017095	4
ENSRNOG00000055337	0
ENSRNOG00000057357	0
ENSRNOG00000017150	404
ENSRNOG00000043733	0
ENSRNOG00000034075	2292
ENSRNOG00000017254	809
ENSRNOG00000017601	322
ENSRNOG00000052644	1
ENSRNOG00000017613	857
ENSRNOG00000055880	0
ENSRNOG00000017678	17
ENSRNOG00000058077	412
ENSRNOG00000032150	3001
ENSRNOG00000055957	0
ENSRNOG00000047406	160
ENSRNOG00000027422	314
ENSRNOG00000017826	394
ENSRNOG00000042308	43
ENSRNOG00000058041	1
ENSRNOG00000051377	632
ENSRNOG00000059310	2
ENSRNOG00000017963	148
ENSRNOG00000049259	143
ENSRNOG00000016462	155
ENSRNOG00000056694	31
