"x"
"Dnajb5"
"Mier2"
"Prrt1"
"Nptx2"
"C12h12orf43"
"Vgf"
"Etv5"
"Dgkg"
NA
"Camk1g"
"Syt13"
"Nfil3"
"Lrfn2"
"Gne"
"Ddost"
"Arhgap39"
"Shisa7"
"Ncoa5"
"Egr3"
"Zfp428"
"Lrfn1"
"Psrc1"
"Tmem198"
"Numbl"
"Galnt9"
"Bdnf"
"Ensa"
"Ppp1r12c"
"Selenom"
