"x"
"Acacb"
"Scarb2"
"Sox9"
"Abat"
"Tp53bp2"
"Fam210b"
"Acss1"
"Abcb1a"
"Acadl"
"Arnt2"
"S1pr1"
"Acsl3"
"Rcbtb2"
"Gpam"
"Bloc1s5"
"Cplx3"
"Ppfibp2"
"Slc16a1"
"Atp13a5"
NA
"Mlxipl"
